clause_text,clause_label
"Notwithstanding anything to the contrary herein, attached as Attachment B is a list of companies (the ""Competitors II"") which are competitors with World Book and to whom sublicense may be made only with prior written consent of World Book, which World Book may withhold at its sole discretion. HSWI may not sublicense the Content, Images or Affinities to any paid-subscription website which is an aggregator of third-party content (for the avoidance of doubt, such shall not include the<omitted>HSWI Websites).",Non-Compete
"In addition, such license for Translated Content shall be Exclusive for Display on the Open Free Web. The term of the license for the Content delivered to HSWI as part of the Affinities, and the Affinities themselves, shall be perpetual, Exclusive, and irrevocable. Commencing on the Effective Date and continuing for eighteen (18) months, World Book shall work exclusively with HSWI to publish Chinese language Content for the Open Free Web and shall not itself, directly or indirectly, publish Chinese language Content for the Open Free Web. World Book shall not license to any third parties or otherwise use the Content as Affinities in any digital form during the term of the license. World Book shall have no right to allow any party other than HSWI, including World Book, to publish, distribute, duplicate, or otherwise use the Reference Content that comprises the Affinities on the Open Free Web for purposes of creating any materials that are the same or similar to the Affinities and published online or in any other free digital media.",Exclusivity
"At the end of such [*] ([*]) year period, HSWI shall have the right to renew the Agreement under materially the same terms or shall have an option to purchase the Translated Content outright to the extent rights permit and to the extent the parties mutually agree to terms for such sale. Additionally commencing on the Effective Date and continuing for eighteen (18) months, World Book shall offer HSWI a right of first refusal to create any paid-subscription Chinese language websites, which do not exist as of the date hereof, using the Content on equal or better terms as agreed to between World Book and a third party.",Rofr/Rofo/Rofn
"Notwithstanding the foregoing, attached as Attachment C is a list of companies (the ""Competitors"") to whom assignment of this Agreement outside of an Acquisition may be made only with prior written consent of the other party, which the other party may withhold at its sole discretion. Except as set forth herein, the parties shall not have any right or ability to assign, transfer, or sublicense any obligations or benefit under this Agreement without the prior written consent of the other party, which shall not be unreasonably withheld, except that, upon written notice to the other party, a party (i) may assign and transfer this Agreement and its rights and obligations hereunder to any third party who succeeds to substantially all its business, stock, or assets related to this Agreement, including, without limitation, to a Competitor (as defined below) (an ""Acquisition""); and (ii) may assign or transfer any rights to receive payments hereunder.",Anti-Assignment
HSWI shall pay to World Book Royalties calculated as a defined percentage of the Net Revenue received by HSWI from<omitted>advertising generated directly from Content by web pages containing Content or any portion of the Content provided by World Book to HSWI hereunder. The Royalty rate shall be [*] percent ([*]%) on the Affinities and Reference Content; and [*] percent ([*]%) on Translated Content. Royalties for Content will be calculated based on the Royalty rates set forth in Subsection (i) and compared to the Payments/Advances paid by HSWI during the term of this Agreement.,Revenue/Profit Sharing
"The total amount of material World Book makes available for all Affinities shall be no less than sixteen million (16,000,000) Chinese characters. Additionally, the Affinities shall collectively contain at least sixteen thousand (16,000) Articles written in simplified Chinese characters, with an average and median number of words per Article of no less than one thousand (1,000) simplified Chinese characters.",Minimum Commitment
"HSWI may not sublicense the Content, Images or Affinities to any paid-subscription website which is an aggregator of third-party content (for the avoidance of doubt, such shall not include the<omitted>HSWI Websites). Subject to the terms and conditions set forth herein, World Book hereby grants to HSWI, a perpetual, irrevocable limited license to use, copy, store, archive, distribute, transmit, modify (subject to Section 2.1(iv)), and Display the Content, Images and Affinities in whole or in part, only on the HSWI Websites or in promotions in any media for the HSWI Websites. World Book grants HSWI the right to use, copy, store, archive, distribute, transmit, modify, translate (subject to Section 2.3), and Display the Images as part of the Affinity. In addition, World Book grants HSWI the right to sub-license the Content for business development purposes, with no more than [*] ([*]%) of the Content being licensed to any single third party, and in limited, non-material usage in other mediums for promotional or public relations purposes. World Book further grants HSWI the right to sub-license the Content, Images and Affinities to users of the HSWI Websites to view, to store, and to make reasonable copies of the Content, Images and Affinities to use such Content, Images and Affinities for non-commercial, private purposes, provided that HSWI sets forth the limited terms of such sublicense in writing in the HSWI Websites' terms and conditions. Subject to the terms and conditions of this Agreement, World Book grants HSWI the right to use, copy, store, archive, distribute, transmit, modify, translate (subject to Section 2.3), and Display the Content that comprises the Affinities as part of the Affinities, and the Affinities themselves, in any manner and in any digital media (and to sublicense such rights to third parties), provided that HSWI does not resell all or license substantially all of the Content for a fee to other content publishers.",License Grant
"HSWI may not sublicense the Content, Images or Affinities to any paid-subscription website which is an aggregator of third-party content (for the avoidance of doubt, such shall not include the<omitted>HSWI Websites). Except as set forth herein, HSWI has no other right to sublicense the Content except with the advance written consent of World Book. In addition, World Book grants HSWI the right to sub-license the Content for business development purposes, with no more than [*] ([*]%) of the Content being licensed to any single third party, and in limited, non-material usage in other mediums for promotional or public relations purposes. World Book further grants HSWI the right to sub-license the Content, Images and Affinities to users of the HSWI Websites to view, to store, and to make reasonable copies of the Content, Images and Affinities to use such Content, Images and Affinities for non-commercial, private purposes, provided that HSWI sets forth the limited terms of such sublicense in writing in the HSWI Websites' terms and conditions. Notwithstanding anything to the contrary herein, attached as Attachment B is a list of companies (the ""Competitors II"") which are competitors with World Book and to whom sublicense may be made only with prior written consent of World Book, which World Book may withhold at its sole discretion.",Non-Transferable License
All rights granted to HSWI under this Agreement may be exercised by or through HSWI and/or its Affiliates.,Affiliate License-Licensee
"Subject to the terms and conditions set forth herein, World Book hereby grants to HSWI, a perpetual, irrevocable limited license to use, copy, store, archive, distribute, transmit, modify (subject to Section 2.1(iv)), and Display the Content, Images and Affinities in whole or The term of the license for the Content delivered to HSWI as part of the Affinities, and the Affinities themselves, shall be perpetual, Exclusive, and irrevocable. The term of the license for the Images delivered to HSWI as part of the Affinity, shall be perpetual and irrevocable.",Irrevocable Or Perpetual License
